Nad Dolinsko ,06:00,06:40,07:20,08:00,08:40,09:20,10:00,10:40,11:20,12:00,12:40,13:20,14:00,14:40,15:20,16:00,16:40,17:20,18:00,18:40,19:20,20:00
Mercator ,06:01,06:41,07:21,08:01,08:41,09:21,10:01,10:41,11:21,12:01,12:41,13:21,14:01,14:41,15:21,16:01,16:41,17:21,18:01,18:41,19:21,20:01
Dolinska ,06:02,06:42,07:22,08:02,08:42,09:22,10:02,10:42,11:22,12:02,12:42,13:22,14:02,14:42,15:22,16:02,16:42,17:22,18:02,18:42,19:22,20:02
Oljčna pot Lantana ,06:03,06:43,07:23,08:03,08:43,09:23,10:03,10:43,11:23,12:03,12:43,13:23,14:03,14:43,15:23,16:03,16:43,17:23,18:03,18:43,19:23,20:03
Olmo Eden ,06:04,06:44,07:24,08:04,08:44,09:24,10:04,10:44,11:24,12:04,12:44,13:24,14:04,14:44,15:24,16:04,16:44,17:24,18:04,18:44,19:24,20:04
Tomšičeva K ,06:06,06:46,07:26,08:06,08:46,09:26,10:06,10:46,11:26,12:06,12:46,13:26,14:06,14:46,15:26,16:06,16:46,17:26,18:06,18:46,19:26,20:06
Tomšičeva ,06:07,06:47,07:27,08:07,08:47,09:27,10:07,10:47,11:27,12:07,12:47,13:27,14:07,14:47,15:27,16:07,16:47,17:27,18:07,18:47,19:27,20:07
Rozmanova Š ,06:08,06:48,07:28,08:08,08:48,09:28,10:08,10:48,11:28,12:08,12:48,13:28,14:08,14:48,15:28,16:08,16:48,17:28,18:08,18:48,19:28,20:08
Vena Pilona ,06:10,06:50,07:30,08:10,08:50,09:30,10:10,10:50,11:30,12:10,12:50,13:30,14:10,14:50,15:30,16:10,16:50,17:30,18:10,18:50,19:30,20:10
Markovec Š

;16:12
;16:52
;17:32
;18:12
;18:52
;19:32
;20:12


Markovec-Center Za gradom ,06:12;06:13 ,06:52;06:53 ,07:32;07:33 ,08:12;08:13 ,08:52;08:53 ,09:32;09:33 ,10:12;10:13 ,10:52;10:53 ,11:32;11:33 ,12:12;12:13 ,12:52;12:53 ,13:32;13:33 ,14:12;14:13 ,14:52;14:53 ,15:32;15:33 ,16:13       ,16:53       ,17:33       ,18:13       ,18:53       ,19:33       ,20:13
Beblerjeva
Kozlovičeva               ,06:15;06:16 ,06:55;06:56 ,07:35;07:36 ,08:15;08:16 ,08:55;08:56 ,09:35;09:36 ,10:15;10:16 ,10:55;10:56 ,11:35;11:36 ,12:15;12:16 ,12:55;12:56 ,13:35;13:36 ,14:15;14:16 ,14:55;14:56 ,15:35;15:36 ,16:15;16:16 ,16:55;16:56 ,17:35;17:36 ,18:15;18:16 ,18:55;18:56 ,19:35;19:36 ,20:15;20:16
Bolnišnica                ,06:18       ,06:58       ,07:38       ,08:18       ,08:58       ,09:38       ,10:18       ,10:58       ,11:38       ,12:18       ,12:58       ,13:38       ,14:18       ,14:58       ,15:38       ,16:18       ,16:58       ,17:38       ,18:18       ,18:58       ,19:38       ,20:18


                          ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,
